archivo.html;antiguo;nuevo;tono
kyrie_8.html;-;Q55;Lam cej2
kyrie_8.html;-;Q55;Lam cej2
kyrie_20.html;-;Q56;Lam cej3
kyrie_20.html;-;Q56;Lam cej3
l’ajuda_em_vindrà.html;-;Q57;Mi cej3
l’ajuda_em_vindrà.html;-;Q57;Mi cej3
laudate_dominum.html;-;Q58;Mim cej3
laudate_dominum.html;-;Q58;Mim cej3
laudate_omnes_gentes.html;-;Q59;Do cej3
laudate_omnes_gentes.html;-;Q59;Do cej3
let_all_who_are_thirsty_come.html;-;Q60;Do cej2
let_all_who_are_thirsty_come.html;-;Q60;Do cej2
magnificat_(canon).html;-;Q61;Sol
magnificat_(canon).html;-;Q61;Sol
misericordias_domini.html;157;Q62;Lam cej5
misericordias_domini.html;-;Q62;Lam cej5
nada_te_turbe.html;173;Q63;Mim cej5
nunc_dimittis.html;-;Q64;Sol
nunc_dimittis.html;-;Q64;Sol
para_mim,_ser_feliz.html;-;Q65;Do
para_mim,_ser_feliz.html;-;Q65;Do
per_crucem.html;-;Q66;Lam cej5
per_crucem.html;-;Q66;Lam cej5
psallite_deo.html;121;Q67;Mim cej3
psallite_deo.html;-;Q67;Mim cej3
sanasi_on_lamppu.html;-;Q68;Lam cej5
sanasi_on_lamppu.html;-;Q68;Lam cej5
señor,_que_florezca_tu_justicia.html;-;Q69;Rem cej2
spiritus_jesu_christi.html;-;Q70;Fa cej5
spiritus_jesu_christi.html;-;Q70;Fa cej5
staňte_se_soli.html;-;Q71;La cej5
staňte_se_soli.html;-;Q71;La cej5
surrexit_christus.html;-;Q72;Do cej2
surrexit_christus.html;-;Q72;Do cej2
surrexit_dominus_vere_(canon).html;-;Q73;La cej3
surrexit_dominus_vere_(canon).html;-;Q73;La cej3
the_kingdom_of_god.html;-;Q74;Rem cej2
the_kingdom_of_god.html;-;Q74;Rem cej2
tu_palabra,_señor.html;-;Q75;Fa
tu_sei_sorgente_viva.html;-;Q76;Do cej3
tu_sei_sorgente_viva.html;-;Q76;Do cej3
tui_amoris.html;-;Q77;Rem cej2
ven,_espiritu_de_dios_(esprit_createur).html;-;Q77;Rem cej2
ubi_caritas.html;-;Q78;Do cej5
ubi_caritas.html;466;Q78;Do cej5
v_tebi_je_izvir_življenja.html;-;Q79;Re cej2
v_tebi_je_izvir_življenja.html;-;Q79;Re cej2
vieni_spirito_creatore_(canon).html;-;Q80;Re cej2
vieni_spirito_creatore_(canon).html;-;Q80;Re cej2
voici_dieu_qui_vient_à_mon_secours.html;-;Q81;Lam cej3
voici_dieu_qui_vient_à_mon_secours.html;-;Q81;Lam cej3
wysławiajcie_pana.html;-;Q82;Re cej2
wysławiajcie_pana.html;-;Q82;Re cej2
zu_wem_sollen_wir_gehen.html;-;Q83;Lam cej2
zu_wem_sollen_wir_gehen.html;-;Q83;Lam cej2
abrid_de_par_en_par.html;5;-;La
acompañame_señor_en_la_tribulacion.html;6;-;La
